fare_id,route_id
preferencial,amar
preferencial,azul
preferencial,blan
preferencial,cafe
preferencial,cele
preferencial,mor1
preferencial,mor2
preferencial,nara
preferencial,plat
preferencial,roja
preferencial,verd
preferencial_1_transfer,amar
preferencial_1_transfer,azul
preferencial_1_transfer,blan
preferencial_1_transfer,cafe
preferencial_1_transfer,cele
preferencial_1_transfer,mor1
preferencial_1_transfer,mor2
preferencial_1_transfer,nara
preferencial_1_transfer,plat
preferencial_1_transfer,roja
preferencial_1_transfer,verd
preferencial_2_transfers,amar
preferencial_2_transfers,azul
preferencial_2_transfers,blan
preferencial_2_transfers,cafe
preferencial_2_transfers,cele
preferencial_2_transfers,mor1
preferencial_2_transfers,mor2
preferencial_2_transfers,nara
preferencial_2_transfers,plat
preferencial_2_transfers,roja
preferencial_2_transfers,verd
regular,amar
regular,azul
regular,blan
regular,cafe
regular,cele
regular,mor1
regular,mor2
regular,nara
regular,plat
regular,roja
regular,verd
regular_1_transfer,amar
regular_1_transfer,azul
regular_1_transfer,blan
regular_1_transfer,cafe
regular_1_transfer,cele
regular_1_transfer,mor1
regular_1_transfer,mor2
regular_1_transfer,nara
regular_1_transfer,plat
regular_1_transfer,roja
regular_1_transfer,verd
regular_2_transfers,amar
regular_2_transfers,azul
regular_2_transfers,blan
regular_2_transfers,cafe
regular_2_transfers,cele
regular_2_transfers,mor1
regular_2_transfers,mor2
regular_2_transfers,nara
regular_2_transfers,plat
regular_2_transfers,roja
regular_2_transfers,verd
