trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
amarilla/libertador_/fin_de_semana,00:00:00,00:00:00,mirador____/stop/001,1,0
amarilla/libertador_/fin_de_semana,00:04:00,00:04:00,buenos_aire/stop/001,2,0
amarilla/libertador_/fin_de_semana,00:10:15,00:10:15,sopocachi__/stop/001,3,0
amarilla/libertador_/fin_de_semana,00:17:00,00:17:00,libertador_/stop/001,4,0
amarilla/libertador_/semana,00:00:00,00:00:00,mirador____/stop/001,1,0
amarilla/libertador_/semana,00:04:00,00:04:00,buenos_aire/stop/001,2,0
amarilla/libertador_/semana,00:10:15,00:10:15,sopocachi__/stop/001,3,0
amarilla/libertador_/semana,00:17:00,00:17:00,libertador_/stop/001,4,0
amarilla/mirador____/fin_de_semana,00:00:00,00:00:00,libertador_/stop/001,0,0
amarilla/mirador____/fin_de_semana,00:07:00,00:07:00,sopocachi__/stop/002,1,0
amarilla/mirador____/fin_de_semana,00:13:00,00:13:00,buenos_aire/stop/002,2,0
amarilla/mirador____/fin_de_semana,00:17:00,00:17:00,mirador____/stop/001,3,0
amarilla/mirador____/semana,00:00:00,00:00:00,libertador_/stop/001,0,0
amarilla/mirador____/semana,00:07:00,00:07:00,sopocachi__/stop/002,1,0
amarilla/mirador____/semana,00:13:00,00:13:00,buenos_aire/stop/002,2,0
amarilla/mirador____/semana,00:17:00,00:17:00,mirador____/stop/001,3,0
azul/16_de_julio/fin_de_semana,00:00:00,00:00:00,rio_seco___/stop/001,1,0
azul/16_de_julio/fin_de_semana,00:07:06,00:07:06,upea_______/stop/001,2,0
azul/16_de_julio/fin_de_semana,00:12:00,00:12:00,plaza_la_pa/stop/001,3,0
azul/16_de_julio/fin_de_semana,00:16:00,00:16:00,plaza_liber/stop/001,4,0
azul/16_de_julio/fin_de_semana,00:20:00,00:20:00,16_de_julio/stop/002,5,0
azul/16_de_julio/semana,00:00:00,00:00:00,rio_seco___/stop/001,1,0
azul/16_de_julio/semana,00:07:06,00:07:06,upea_______/stop/001,2,0
azul/16_de_julio/semana,00:12:00,00:12:00,plaza_la_pa/stop/001,3,0
azul/16_de_julio/semana,00:16:07,00:16:07,plaza_liber/stop/001,4,0
azul/16_de_julio/semana,00:20:00,00:20:00,16_de_julio/stop/002,5,0
azul/rio_seco___/fin_de_semana,00:00:00,00:00:00,16_de_julio/stop/002,0,0
azul/rio_seco___/fin_de_semana,00:04:00,00:04:00,plaza_liber/stop/002,1,0
azul/rio_seco___/fin_de_semana,00:08:00,00:08:00,plaza_la_pa/stop/002,2,0
azul/rio_seco___/fin_de_semana,00:13:00,00:13:00,upea_______/stop/002,3,0
